card_id,bank_name,card_tier,commercial_activity_score,risk_segment,opportunity_segment,recommended_action,confidence_level,top_reason_1,top_reason_2,top_reason_3,expected_value_kzt,feedback_status
MC-KZ-00001,Halyk Bank,Business,0.36,Medium,SME Lending,Enable trade finance package,0.83,Low utilization of existing credit,Seasonal revenue spike detected,Cash flow volatility within acceptable band,473865,Pending
MC-KZ-00002,Eurasian Bank,Business,0.643,High,Trade Finance,Invite to merchant program,0.84,Industry sector growth above national average,High cross-border payment velocity,Seasonal revenue spike detected,2217882,Rejected
MC-KZ-00003,Kaspi Bank,Platinum,0.153,Low,SME Lending,Offer SME credit line,0.82,Frequent B2B supplier payments,Multiple POS terminals registered,Strong repayment history on retail products,279703,Rejected
MC-KZ-00004,Jusan Bank,Standard,0.391,Low,Treasury Services,Schedule relationship call,0.94,High cross-border payment velocity,E-commerce platform integrations active,Growing monthly turnover vs peer median,1720607,Rejected
MC-KZ-00005,Home Credit Bank,Gold,0.632,Medium,SME Lending,Cross-sell working capital,0.79,High cross-border payment velocity,Seasonal revenue spike detected,Low utilization of existing credit,2809442,Rejected
MC-KZ-00006,Kaspi Bank,Gold,0.692,High,Trade Finance,Cross-sell working capital,0.79,Low utilization of existing credit,Growing monthly turnover vs peer median,Frequent B2B supplier payments,1921212,Accepted
MC-KZ-00007,Jusan Bank,Platinum,0.687,Medium,SME Lending,Invite to merchant program,0.96,High cross-border payment velocity,Seasonal revenue spike detected,Industry sector growth above national average,2595946,Rejected
MC-KZ-00008,Eurasian Bank,Business,0.75,High,Treasury Services,Schedule relationship call,0.91,E-commerce platform integrations active,Frequent B2B supplier payments,Low utilization of existing credit,987474,Deferred
MC-KZ-00009,Halyk Bank,Standard,0.31,Low,Merchant Acquiring,Propose payroll bundle,0.76,Seasonal revenue spike detected,Frequent B2B supplier payments,E-commerce platform integrations active,352273,Deferred
MC-KZ-00010,Home Credit Bank,Standard,0.504,Medium,Payroll Solutions,Propose payroll bundle,0.75,Industry sector growth above national average,E-commerce platform integrations active,Low utilization of existing credit,2214067,Rejected
